fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
IF GLOBAL MANAGEMENT, FI*IF GLOBAL MANAGEMENT, FI*2018 S2*2018-07-01*2018-12-31*5 en una escala de 1 a 7*10.54*-0.2**772967.77*24*0.0*6862836*false*8.8786*0.85*0.0*0.85*0.05*-10.57*9.02*0.73*False
IF GLOBAL MANAGEMENT, FI*IF GLOBAL MANAGEMENT, FI*2018 T3*2018-07-01*2018-09-30*5 en una escala de 1 a 7*0.0*-0.15**148120.7*9*0.0*1470564*false*9.9281*0.4*0.0*0.4*0.02***0.87*False
IF GLOBAL MANAGEMENT, FI*IF GLOBAL MANAGEMENT, FI*2019 S2*2019-07-01*2019-12-31*5 en una escala de 1 a 7*0.32*-0.26**761489.89*114*0.0*7106923*false*9.3329*0.88*0.0*0.88*0.05*3.67*5.78*0.59*False
IF GLOBAL MANAGEMENT, FI*IF GLOBAL MANAGEMENT, FI*2019 T3*2019-07-01*2019-09-30*5 en una escala de 1 a 7*0.12*-0.13**762333.26*114*0.0*6862643*false*9.0022*0.44*0.0*0.44*0.03*0.91*4.08*0.58*False
IF GLOBAL MANAGEMENT, FI*IF GLOBAL MANAGEMENT, FI*2019 S1*2019-01-01*2019-06-30*5 en una escala de 1 a 7*1.15*-0.22**829302.29*103*0.0*7397891*false*8.9206*0.87*0.0*0.87*0.05*0.14*3.78*0.56*False
IF GLOBAL MANAGEMENT, FI*IF GLOBAL MANAGEMENT, FI*2019 T1*2019-01-01*2019-03-31*5 en una escala de 1 a 7*0.83*-0.28**836393.93*30*0.0*7450961*false*8.9084*0.43*0.0*0.43*0.02*0.34*2.12*0.52*False
IF GLOBAL MANAGEMENT, FI*IF GLOBAL MANAGEMENT, FI*2020 S2*2020-07-01*2020-12-31*5 en una escala de 1 a 7*0.39*-0.49**865480.73*132*0.0*8220105*false*9.4977*0.88*0.0*0.88*0.05*5.63*9.08*0.6*False
IF GLOBAL MANAGEMENT, FI*IF GLOBAL MANAGEMENT, FI*2020 T3*2020-07-01*2020-09-30*5 en una escala de 1 a 7*0.12*-0.47**843921.58*133*0.0*7588004*false*8.9914*0.44*0.0*0.44*0.03*3.4*8.85*0.6*False
IF GLOBAL MANAGEMENT, FI*IF GLOBAL MANAGEMENT, FI*2020 S1*2020-01-01*2020-06-30*5 en una escala de 1 a 7*0.58*-0.33**820877.73*114*0.0*7138443*false*8.6961*0.87*0.0*0.87*0.05*13.26*13.7*0.58*False
IF GLOBAL MANAGEMENT, FI*IF GLOBAL MANAGEMENT, FI*2020 T1*2020-01-01*2020-03-31*5 en una escala de 1 a 7*0.55*-0.38**729958.89*112*0.0*5604707*false*7.6781*0.43*0.0*0.43*0.02*-17.73*27.65*0.58*False
