fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
TREA NB FONDTESORO LARGO PLAZO, FI*ESAF FONDTESORO LARGO PLAZO, FI*2013 S1*2013-01-01*2013-06-30*3 en una escala del 1 al 7*1.3*0.1**3024939.97*1251*0.0*51736825*false*17.1034*0.4*0.0*0.4*0.01*1.27*4.15*0.21*False
TREA NB FONDTESORO LARGO PLAZO, FI*ESAF FONDTESORO LARGO PLAZO, FI*2013 T1*2013-01-01*2013-03-31*3 en una escala del 1 al 7*0.65*0.1**3040991.87*1293*0.0*51360707*false*16.8895*0.2*0.0*0.2*0.01*1.7*3.14*0.21*False
TREA NB FONDTESORO LARGO PLAZO, FI*ESAF FONDTESORO LARGO PLAZO, FI*2012 S2*2012-07-01*2012-12-31*3 en una escala del 1 al 7*2.05*0.1**3060143.61*1431*0.0*50820864*false*16.6073*0.4*0.0*0.4*0.01*2.07*3.36*0.21*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2014 S2*2014-07-01*2014-12-31*3 en una escala del 1 al 7*0.76*0.1**4075791.71*1249*0.0*76402534*false*18.7454*0.39*0.0*0.39*0.01*0.19*0.57*0.2*False
TREA NB FONDTESORO LARGO PLAZO, FI*ESAF FONDTESORO LARGO PLAZO, FI*2014 T3*2014-07-01*2014-09-30*3 en una escala del 1 al 7*0.8*0.1**3445078.13*1365*0.0*64458332*false*18.7103*0.2*0.0*0.2*0.01*1.54*1.68*0.21*False
TREA NB FONDTESORO LARGO PLAZO, FI*ESAF FONDTESORO LARGO PLAZO, FI*2014 S1*2014-01-01*2014-06-30*3 en una escala del 1 al 7*1.23*0.1**3439804.02*1401*0.0*63381964*false*18.426*0.4*0.0*0.4*0.01*1.14*2.18*0.21*False
TREA NB FONDTESORO LARGO PLAZO, FI*ESAF FONDTESORO LARGO PLAZO, FI*2014 T1*2014-01-01*2014-03-31*3 en una escala del 1 al 7*1.22*0.1**4078300.31*2004*0.0*74296421*false*18.2175*0.2*0.0*0.2*0.01*3.14*2.15*0.21*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2015 S2*2015-07-01*2015-12-31*3 en una escala del 1 al 7*2.55*0.03**1615249.29*1075*0.0*28835275*false*17.8519*0.28*0.0*0.28*0.01*0.51*2.92*0.14*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2015 T3*2015-07-01*2015-09-30*3 en una escala del 1 al 7*0.86*0.1**1656380.73*1106*0.0*29418887*false*17.7609*0.14*0.0*0.14*0.01*1.15*2.04*0.16*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2015 S1*2015-01-01*2015-06-30*3 en una escala del 1 al 7*1.01*0.09**1724159.96*1158*0.0*30273914*false*17.5586*0.27*0.0*0.27*0.01*-7.69*7.06*0.15*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2015 T1*2015-01-01*2015-03-31*3 en una escala del 1 al 7*0.64*0.08**3992646.15*1225*0.0*75942580*false*19.0206*0.14*0.0*0.14*0.01*1.47*2.52*0.15*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2016 S2*2016-07-01*2016-12-31*3 en una escala del 1 al 7*1.05*0.12**239302.67*1039*0.0*4306379*false*17.9955*0.28*0.0*0.28*0.01*-0.66*1.17*0.15*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2016 T3*2016-07-01*2016-09-30*3 en una escala del 1 al 7*0.5*0.13**246848.69*1053*0.0*4471606*false*18.1148*0.14*0.0*0.14*0.01*0.12*0.96*0.19*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2016 S1*2016-01-01*2016-06-30*3 en una escala del 1 al 7*3.27*0.1**257698.98*1058*0.0*4662500*false*18.0928*0.27*0.0*0.27*0.01*0.18*0.78*0.15*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2016 T1*2016-01-01*2016-03-31*3 en una escala del 1 al 7*2.17*0.1**1613455.87*1066*0.0*29139540*false*18.0603*0.14*0.0*0.14*0.01*1.17*1.44*0.15*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2017 T3*2017-07-01*2017-09-30*3 en una escala del 1 al 7*0.59*0.1**200298.63*995*0.0*3585052*false*17.8985*0.14*0.0*0.14*0.01*-0.03*1.24*0.2*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2017 S1*2017-01-01*2017-06-30*3 en una escala del 1 al 7*0.79*0.1**207353.88*1007*0.0*3712340*false*17.9034*0.27*0.0*0.27*0.01*0.15*0.75*0.19*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2017 T1*2017-01-01*2017-03-31*3 en una escala del 1 al 7*0.62*0.1**213422.49*1021*0.0*3815266*false*17.8766*0.14*0.0*0.14*0.01*-0.66*0.98*0.19*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2018 S2*2018-07-01*2018-12-31*3 en una escala del 1 al 7*0.75*0.0**168897.59*909*0.0*3000311*false*17.7641*0.28*0.0*0.28*0.01*-0.02*0.54*0.21*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2018 T3*2018-07-01*2018-09-30*3 en una escala del 1 al 7*0.76*0.0**164371.79*915*0.0*2920448*false*17.7673*0.14*0.0*0.14*0.01*-0.28*0.55*0.23*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2018 S1*2018-01-01*2018-06-30*3 en una escala del 1 al 7*3.25*0.0**173128.25*934*0.0*3084640*false*17.8171*0.27*0.0*0.27*0.01*-0.36*1.27*0.19*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2018 T1*2018-01-01*2018-03-31*3 en una escala del 1 al 7*0.92*0.1**180225.83*949*0.0*3222562*false*17.8807*0.14*0.0*0.14*0.01*0.03*0.56*0.19*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2019 S2*2019-07-01*2019-12-31*3 en una escala del 1 al 7*0.03*0.1**163998.22*853*0.0*2910984*false*17.7501*0.28*0.0*0.28*0.01*-0.44*0.57*0.11*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2019 T3*2019-07-01*2019-09-30*3 en una escala del 1 al 7*0.07*0.1**163650.26*868*0.0*2917769*false*17.8293*0.14*0.0*0.14*0.01*0.07*1.0*0.19*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2019 S1*2019-01-01*2019-06-30*3 en una escala del 1 al 7*0.3*0.1**164320.75*873*0.0*2927649*false*17.8167*0.27*0.0*0.27*0.01*0.12*0.5*0.2*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2019 T1*2019-01-01*2019-03-31*3 en una escala del 1 al 7*0.08*0.1**166075.23*894*0.0*2955390*false*17.7955*0.14*0.0*0.14*0.01*0.18*0.45*0.19*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2020 T3*2020-07-01*2020-09-30*3 en una escala del 1 al 7*0.47*0.1**153714.53*835*0.0*2716218*false*17.6705*0.14*0.0*0.14*0.01*-0.02*0.42*0.2*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2020 S1*2020-01-01*2020-06-30*3 en una escala del 1 al 7*0.0*0.1**160302.52*842*0.0*2833057*false*17.6732*0.27*0.0*0.27*0.01*0.49*1.01*0.2*False
TREA NB FONDTESORO LARGO PLAZO, FI*NB FONDTESORO LARGO PLAZO, FI*2020 T1*2020-01-01*2020-03-31*3 en una escala del 1 al 7*0.0*0.1**160498.19*842*0.0*2822685*false*17.587*0.14*0.0*0.14*0.01*-0.92*1.78*0.2*False
