fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
FON FINECO BASE, FI*FON FINECO DINERO FI*2009 T3*2009-07-01*2009-09-30*bajo*0.0*0.24**51658.79*920*0.0*48896578*false*946.5296***0.05*0.01****False
FON FINECO BASE, FI*FON FINECO DINERO FI*2009 S1*2009-01-01*2009-06-30*bajo*0.0*0.9**61887.32*959*0.0*58578500*false*946.5347***0.1*0.02*0.1*0.01*0.06*False
FON FINECO BASE, FI*FON FINECO DINERO FI*2010 T3*2010-07-01*2010-09-30*bajo*0.0*0.32**31803.78*969*0.0*30134689*false*947.519***0.05*0.01*0.05*0.01*0.07*False
FON FINECO BASE, FI*FON FINECO DINERO FI*2010 S1*2010-01-01*2010-06-30*bajo*0.0*0.21**37270.06*956*0.0*35298039*false*947.0883***0.1*0.02*-0.02*0.0*0.07*False
FON FINECO BASE, FI*FON FINECO DINERO FI*2010 T1*2010-01-01*2010-03-31*bajo*0.0*0.24**34020.48*926*0.0*32226650*false*947.2719***0.05*0.01*0.02*0.02*0.06*False
FON FINECO BASE, FI*FON FINECO DINERO FI*2009 S2*2009-07-01*2009-12-31*bajo*0.0*0.27**39210.37*939*0.0*37137445*false*947.1332***0.1*0.03*0.06*0.01*0.07*False
FON FINECO BASE, FI*FON FINECO DINERO FI*2011 T3*2011-07-01*2011-09-30*bajo*0.0*0.83**22654.75*979*0.0*21564027*false*951.8547***0.05*0.01*0.12*0.01*0.07*False
FON FINECO BASE, FI*FON FINECO DINERO FI*2011 S1*2011-01-01*2011-06-30*bajo*0.0*0.7**32521.65*971*0.0*30918513*false*950.7057***0.1*0.02*0.17*0.02*0.07*False
FON FINECO BASE, FI*FON FINECO DINERO FI*2011 T1*2011-01-01*2011-03-31*bajo*0.0*0.47**38447.77*953*0.0*36490445*false*949.0913***0.05*0.01*0.08*0.01*0.06*False
FON FINECO BASE, FI*FON FINECO DINERO FI*2010 S2*2010-07-01*2010-12-31*bajo*0.0*0.41**43293.35*1085*0.0*41055433*false*948.3081***0.1*0.03*0.08*0.01*0.07*False
FON FINECO BASE, FI*FON FINECO DINERO FI*2012 S2*2012-07-01*2012-12-31*1 en una escala de 1 a 7*0.0*0.07**38436.11*1129*0.0*36641416*false*953.307*0.1**0.1*0.03*0.01*0.04*0.06*False
FON FINECO BASE, FI*FON FINECO DINERO FI*2012 T3*2012-07-01*2012-09-30*1 en una escala de 1 a 7*0.0*0.08**63752.83*1170*0.0*60770223*false*953.216*0.05**0.05*0.01*0.01*0.0*0.07*False
FON FINECO BASE, FI*FON FINECO DINERO FI*2012 S1*2012-01-01*2012-06-30*1 en una escala de 1 a 7*0.0*0.19**58839.31*1190*0.0*56078980*false*953.0869*0.1**0.1*0.02*0.11*0.01*0.06*False
FON FINECO BASE, FI*FON FINECO DINERO FI*2012 T1*2012-01-01*2012-03-31*bajo*0.0*0.15**35359.56*1008*0.0*33664639*false*952.0661*0.05**0.05*0.01*0.03*0.02*0.07*False
FON FINECO BASE, FI*FON FINECO DINERO FI*2013 S2*2013-07-01*2013-12-31*1 en una escala de 1 a 7*0.0*0.05**48108.81*1082*0.0*45983926*false*955.8317*0.1**0.1*0.03*0.1*0.06*0.07*False
FON FINECO BASE, FI*FON FINECO DINERO FI*2013 T3*2013-07-01*2013-09-30*1 en una escala de 1 a 7*0.0*0.02**36504.34*1124*0.0*34855721*false*954.8378*0.05**0.05*0.01*0.05*0.01*0.07*False
FON FINECO BASE, FI*FON FINECO DINERO FI*2013 S1*2013-01-01*2013-06-30*1 en una escala de 1 a 7*0.0*0.03**40875.36*1200*0.0*39008757*false*954.3343*0.1**0.1*0.02*0.05*0.04*0.06*False
