fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*2015 S2*2015-07-01*2015-12-31*6 en una escala de 1 a 7*0.0*0.0**34411.9*7*0.0*346690*false*10.0747*0.1*0.0*0.1*0.01***0.31*False
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*2016 S2*2016-07-01*2016-12-31*6 en una escala de 1 a 7*0.32*0.0**894591.69*520*0.0*8871388*false*9.9167*0.95*0.0*0.95*0.05*8.29*12.43*0.53*False
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*2016 T3*2016-07-01*2016-09-30*6 en una escala de 1 a 7*0.22*0.0**768483.52*462*0.0*7037093*false*9.1571*0.48*0.0*0.48*0.03*9.24*15.8*0.53*False
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*2016 S1*2016-01-01*2016-06-30*6 en una escala de 1 a 7*0.0*-0.02**651957.27*374*0.0*5464899*false*8.3823*0.94*0.0*0.94*0.05*-7.48*34.15*0.54*False
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*2016 T1*2016-01-01*2016-03-31*6 en una escala de 1 a 7*1.64*-0.05**423265.14*230*0.0*3834725*false*9.0599*0.46*0.0*0.46*0.02*-10.07*29.48*0.58*False
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*2017 T3*2017-07-01*2017-09-30*6 en una escala de 1 a 7*0.5*-0.07**1669648.92*933*0.0*17539923*false*10.5052*0.48*0.0*0.48*0.03*-3.64*11.22*0.51*False
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*2017 S1*2017-01-01*2017-06-30*6 en una escala de 1 a 7*0.83*0.0**1573519.52*873*0.0*17155298*false*10.9025*0.94*0.0*0.94*0.05*0.24*11.94*0.51*False
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*2017 T1*2017-01-01*2017-03-31*6 en una escala de 1 a 7*0.29*0.0**1145325.38*690*0.0*12456446*false*10.8759*0.47*0.0*0.47*0.02*9.67*10.73*0.51*False
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*2018 S2*2018-07-01*2018-12-31*6 en una escala de 1 a 7*1.3*-0.37**5068476.61*2415*0.0*49014540*false*9.6705*0.88*0.0*0.88*0.05*-13.01*15.36*0.47*False
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*2018 T3*2018-07-01*2018-09-30*6 en una escala de 1 a 7*0.67*0.0**4258211.12*2198*0.0*47335417*false*11.1163*0.44*0.0*0.44*0.03*-0.6*8.27*0.48*False
TREA CAJAMAR RENTA VARIABLE ESPAÑA, FI*TREA CAJAMAR RENTA VARIABLE ESPAÑA FI*2018 S1*2018-01-01*2018-06-30*6 en una escala de 1 a 7*1.82*0.0**3297493.5*1729*0.0*36875755*false*11.183*0.87*0.0*0.87*0.05*3.9*10.76*0.48*False
