fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
FON-FINECO I, FI*FON FINECO I FI*2014 T3*2014-07-01*2014-09-30*5 en una escala del 1 al 7*0.18*0.0**5582290.48*929*0.0*73779213*false*13.2167*0.38**0.38*0.03*-0.39*6.64*0.4*False
FON-FINECO I, FI*FON FINECO I FI*2014 S1*2014-01-01*2014-06-30*medio alto*0.0*0.15**5030097.6*874*0.0*66739327*false*13.268*0.74**0.74*0.05*1.67*6.03*0.4*False
FON-FINECO I, FI*FON FINECO I FI*2014 T1*2014-01-01*2014-03-31*medio alto*0.0*0.14**4747119.18*765*0.0*61951080*false*13.0502*0.37**0.37*0.02*0.81*8.31*0.4*False
FON-FINECO I, FI*FON FINECO I FI*2015 S2*2015-07-01*2015-12-31*5 en una escala del 1 al 7*0.1*-0.14**9156555.26*1377*0.0*123436363*false*13.4807*0.76**0.76*0.05*2.85*11.29*0.4*False
FON-FINECO I, FI*FON FINECO I FI*2015 T3*2015-07-01*2015-09-30*5 en una escala del 1 al 7*0.0*-0.13**8665975.11*1333*0.0*113587261*false*13.1073*0.38**0.38*0.03*-6.88*15.7*0.4*False
FON-FINECO I, FI*FON FINECO I FI*2015 S1*2015-01-01*2015-06-30*5 en una escala del 1 al 7*0.0*-0.05**7784474.0*1217*0.0*109574596*false*14.076*0.74**0.74*0.05*-1.43*8.5*0.4*False
FON-FINECO I, FI*FON FINECO I FI*2015 T1*2015-01-01*2015-03-31*5 en una escala del 1 al 7*0.0*-0.02**6506459.3*1055*0.0*92918472*false*14.281*0.37**0.37*0.02*9.86*9.68*0.4*False
FON-FINECO I, FI*FON FINECO I FI*2016 S2*2016-07-01*2016-12-31*5 en una escala del 1 al 7*0.1*0.0**6846099.63*1091*0.0*90690641*false*13.2471*0.76**0.76*0.05*2.94*5.38*0.41*False
FON-FINECO I, FI*FON FINECO I FI*2016 T3*2016-07-01*2016-09-30*5 en una escala del 1 al 7*0.02*0.0**7195902.51*1142*0.0*92603756*false*12.869*0.38**0.38*0.03*2.33*7.39*0.41*False
FON-FINECO I, FI*FON FINECO I FI*2016 S1*2016-01-01*2016-06-30*5 en una escala del 1 al 7*0.16*0.0**8292803.9*1273*0.0*104291562*false*12.5762*0.75**0.75*0.05*-2.33*13.81*0.4*False
FON-FINECO I, FI*FON FINECO I FI*2016 T1*2016-01-01*2016-03-31*5 en una escala del 1 al 7*0.0*0.0**8856055.72*1336*0.0*114036967*false*12.8767*0.37**0.37*0.02*-4.48*15.44*0.41*False
FON-FINECO I, FI*FON FINECO I FI*2017 S2*2017-07-01*2017-12-31*5 en una escala del 1 al 7*0.25*-0.35**6327956.95*1047*0.0*88305778*false*13.9549*0.76**0.76*0.02*-0.14*3.54*0.4*False
FON-FINECO I, FI*FON FINECO I FI*2017 T3*2017-07-01*2017-09-30*5 en una escala del 1 al 7*0.23*-0.36**7256504.18*1187*0.0*101409034*false*13.9749*0.38**0.38*0.01*1.12*4.11*0.4*False
FON-FINECO I, FI*FON FINECO I FI*2017 S1*2017-01-01*2017-06-30*5 en una escala del 1 al 7*0.0*-0.36**6875726.23*1130*0.0*95018914*false*13.8195*0.74**0.74*0.03*0.67*4.75*0.39*False
FON-FINECO I, FI*FON FINECO I FI*2017 T1*2017-01-01*2017-03-31*5 en una escala del 1 al 7*0.0*0.0**6758971.09*1087*0.0*92785000*false*13.7277*0.37**0.37*0.02*3.63*4.41*0.4*False
FON-FINECO I, FI*FON FINECO I FI*2018 S2*2018-07-01*2018-12-31*4 en una escala del 1 al 7*0.19*-0.36**2244865.94*499*0.0*27613404*false*12.3007*0.76**0.76*0.02*-8.99*9.68*0.4*False
FON-FINECO I, FI*FON FINECO I FI*2018 T3*2018-07-01*2018-09-30*5 en una escala del 1 al 7*0.08*-0.36**2506209.8*548*0.0*33873523*false*13.5158*0.38**0.38*0.01*-1.4*5.12*0.42*False
FON-FINECO I, FI*FON FINECO I FI*2018 S1*2018-01-01*2018-06-30*5 en una escala del 1 al 7*1.26*-0.36**2945636.45*620*0.0*40379165*false*13.7081*0.75**0.75*0.02*0.28*6.49*0.41*False
FON-FINECO I, FI*FON FINECO I FI*2018 T1*2018-01-01*2018-03-31*5 en una escala del 1 al 7*0.88*-0.36**4053430.48*751*0.0*55410561*false*13.67*0.37**0.37*0.01*-2.04*6.88*0.39*False
FON-FINECO I, FI*FON FINECO I FI*2019 T3*2019-07-01*2019-09-30*4 en una escala del 1 al 7*0.19*-0.38**1497074.29*380*0.0*19387134*false*12.95*0.21*-0.01*0.2*0.01*-0.08*5.72*0.23*False
FON-FINECO I, FI*FON FINECO I FI*2019 S1*2019-01-01*2019-06-30*4 en una escala del 1 al 7*0.43*-0.36**1814435.84*427*0.0*23515237*false*12.9601*0.44*0.16*0.6*0.02*0.11*5.77*0.23*False
FON-FINECO I, FI*FON FINECO I FI*2019 T1*2019-01-01*2019-03-31*4 en una escala del 1 al 7*0.36*-0.37**2065284.35*463*0.0*26735541*false*12.9452*0.23*0.14*0.37*0.01*5.24*8.15*0.25*False
FON-FINECO I, FI*FON FINECO I FI*2020 S2*2020-07-01*2020-12-31*4 en una escala del 1 al 7*36.73*-0.47**717410.52*233*0.0*9135831*false*12.7345*0.43**0.43*0.02*5.8*8.39*0.24*False
FON-FINECO I, FI*FON FINECO I FI*2020 T3*2020-07-01*2020-09-30*4 en una escala del 1 al 7*33.89*-0.47**879968.5*263*0.0*10591617*false*12.0364*0.21**0.21*0.01*-0.65*8.11*0.23*False
FON-FINECO I, FI*FON FINECO I FI*2020 S1*2020-01-01*2020-06-30*4 en una escala del 1 al 7*16.56*-0.45**1070293.14*293*0.0*12967021*false*12.1154*0.42**0.42*0.02*7.83*14.76*0.23*False
FON-FINECO I, FI*FON FINECO I FI*2020 T1*2020-01-01*2020-03-31*4 en una escala del 1 al 7*15.35*-0.45**1126635.98*307*0.0*12657962*false*11.2352*0.21**0.21*0.01*-14.64*21.04*0.23*False
