fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA EQUILIBRADA FI*2014 T1*2014-01-01*2014-03-31*Medio - Bajo*0.19*0.0**1604502.96*304*0.0*18836743*false*11.7399*0.25*0.0*0.25*0.02*1.26*2.11*0.93*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA EQUILIBRADA FI*2015 T3*2015-07-01*2015-09-30*3 (en una escala de 1 a 7)*0.37*0.0**2933174.12*525*0.0*34897979*false*11.8977*0.25*0.0*0.25*0.03*-2.59*5.64*0.48*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA EQUILIBRADA FI*2015 S1*2015-01-01*2015-06-30*3 (en una escala de 1 a 7)*0.33*0.0**2596469.17*496*0.0*31714808*false*12.2146*0.5*0.0*0.5*0.05*-1.98*3.81*0.46*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA EQUILIBRADA FI*2015 T1*2015-01-01*2015-03-31*3 (en una escala de 1 a 7)*0.35*0.0**2312863.61*457*0.0*28821749*false*12.4615*0.25*0.0*0.25*0.02*4.23*3.38*0.43*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA EQUILIBRADA FI*2016 S2*2016-07-01*2016-12-31*3 (en una escala de 1 a 7)*1.06*0.0**2803799.38*545*0.0*32900451*false*11.7342*0.5*0.0*0.5*0.05*-0.64*2.19*0.46*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA EQUILIBRADA FI*2016 T3*2016-07-01*2016-09-30*3 (en una escala de 1 a 7)*0.59*0.0**2923010.47*575*0.0*34518473*false*11.8092*0.25*0.0*0.25*0.03*0.9*2.51*0.46*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA EQUILIBRADA FI*2016 S1*2016-01-01*2016-06-30*3 (en una escala de 1 a 7)*0.97*0.0**3055984.25*588*0.0*35765168*false*11.7033*0.5*0.0*0.5*0.05*-0.45*3.09*0.46*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA EQUILIBRADA FI*2016 T1*2016-01-01*2016-03-31*3 (en una escala de 1 a 7)*0.53*0.0**3160861.03*600*0.0*37159632*false*11.7562*0.25*0.0*0.25*0.02*-3.07*3.56*0.44*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA CONSERVADORA FI*2017 S2*2017-07-01*2017-12-31*3 en una escala de 1 a 7*0.3*0.0**2076561.77*407*0.0*24888173*false*11.9853*0.51*0.0*0.51*0.05*0.33*1.63*0.61*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA CONSERVADORA FI*2017 T3*2017-07-01*2017-09-30*3 en una escala de 1 a 7*0.29*0.0**2196894.21*409*0.0*26244128*false*11.946*0.25*0.0*0.25*0.03*0.62*1.79*0.45*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA CONSERVADORA FI*2017 S1*2017-01-01*2017-06-30*3 en una escala de 1 a 7*0.0*0.0**2090889.41*410*0.0*24823701*false*11.8723*0.51*0.0*0.51*0.05*-0.06*1.62*0.49*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA EQUILIBRADA FI*2017 T1*2017-01-01*2017-03-31*3 (en una escala de 1 a 7)*0.25*0.0**2294121.33*447*0.0*27251925*false*11.879*0.25*0.0*0.25*0.02*1.23*1.75*0.45*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA CONSERVADORA FI*2018 T3*2018-07-01*2018-09-30*3 en una escala de 1 a 7*0.26*0.0**1881374.74*352*0.0*22119179*false*11.7569*0.25*0.0*0.25*0.02*0.28*1.77*0.42*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA CONSERVADORA FI*2018 S1*2018-01-01*2018-06-30*3 en una escala de 1 a 7*0.66*0.0**1899633.13*395*0.0*22271294*false*11.724*0.49*0.0*0.49*0.04*-0.99*2.19*0.43*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA CONSERVADORA FI*2018 T1*2018-01-01*2018-03-31*3 en una escala de 1 a 7*0.32*0.0**2091552.07*412*0.0*24767358*false*11.8416*0.25*0.0*0.25*0.02*-1.2*2.84*0.44*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA CONSERVADORA FI*2019 S2*2019-07-01*2019-12-31*3 en una escala de 1 a 7*0.66*-0.08**3601121.99*442*0.0*42744898*false*11.8699*0.52*0.0*0.52*0.04*0.71*1.88*0.35*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA CONSERVADORA FI*2019 T3*2019-07-01*2019-09-30*3 en una escala de 1 a 7*0.4*0.0**3225641.04*386*0.0*38018056*false*11.7862*0.26*0.0*0.26*0.02*1.03*2.61*0.35*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA CONSERVADORA FI*2019 S1*2019-01-01*2019-06-30*3 en una escala de 1 a 7*1.55*-0.01**2569314.11*356*0.0*29974261*false*11.6663*0.51*0.0*0.51*0.04***0.36*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA CONSERVADORA FI*2019 T1*2019-01-01*2019-03-31*3 en una escala de 1 a 7*1.41*0.04**2303705.09*332*0.0*26619861*false*11.5552*0.25*0.0*0.25*0.02*2.7*1.99*0.38*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA CONSERVADORA FI*2020 S2*2020-07-01*2020-12-31*3 en una escala de 1 a 7*0.99*-0.65**5190478.6*689*0.0*63423184*false*12.2191*0.52*0.0*0.52*0.04*1.72*2.9*0.38*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA CONSERVADORA FI*2020 T3*2020-07-01*2020-09-30*3 en una escala de 1 a 7*0.46*-0.73**4860732.22*636*0.0*58392511*false*12.0131*0.26*0.0*0.26*0.02*1.06*2.74*0.36*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA CONSERVADORA FI*2020 S1*2020-01-01*2020-06-30*3 en una escala de 1 a 7*0.25*-0.34**4258852.02*552*0.0*50623698*false*11.8867*0.51*0.0*0.51*0.04*4.59*4.89*0.36*False
HARMATAN CARTERA CONSERVADORA, FI*HARMATAN CARTERA CONSERVADORA FI*2020 T1*2020-01-01*2020-03-31*3 en una escala de 1 a 7*0.16*-0.42**3649059.88*461*0.0*41473381*false*11.3655*0.26*0.0*0.26*0.02*-4.25*8.59*0.33*False
