fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RENTA VARIABLE EUROPA FI*2015 S2*2015-07-01*2015-12-31*6 en una escala de 1 a 7*0.0*0.0**33267.87*9*0.0*330885*false*9.9461*0.1*0.0*0.1*0.01***0.3*False
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RENTA VARIABLE EUROPA FI*2016 S2*2016-07-01*2016-12-31*6 en una escala de 1 a 7*1.68*0.0**719057.76*403*0.0*6851755*false*9.5288*0.95*0.0*0.95*0.05*3.5*9.75*0.54*False
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RENTA VARIABLE EUROPA FI*2016 T3*2016-07-01*2016-09-30*6 en una escala de 1 a 7*0.8*0.0**601892.37*370*0.0*5541447*false*9.2067*0.48*0.0*0.48*0.03*5.45*11.93*0.54*False
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RENTA VARIABLE EUROPA FI*2016 S1*2016-01-01*2016-06-30*6 en una escala de 1 a 7*0.93*-0.07**547005.24*326*0.0*4775745*false*8.7307*0.94*0.0*0.94*0.05*-2.54*24.23*0.55*False
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RENTA VARIABLE EUROPA FI*2016 T1*2016-01-01*2016-03-31*6 en una escala de 1 a 7*1.26*-0.09**358938.4*188*0.0*3215592*false*8.9586*0.46*0.0*0.46*0.02*-9.93*25.92*0.6*False
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RENTA VARIABLE EUROPA FI*2017 T3*2017-07-01*2017-09-30*6 en una escala de 1 a 7*0.19*0.07**1130546.98*663*0.0*11694677*false*10.3443*0.48*0.0*0.48*0.03*1.83*9.25*0.52*False
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RENTA VARIABLE EUROPA FI*2017 S1*2017-01-01*2017-06-30*6 en una escala de 1 a 7*2.04*-0.07**1047803.75*604*0.0*10644189*false*10.1586*0.94*0.0*0.94*0.05*2.03*9.78*0.52*False
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RENTA VARIABLE EUROPA FI*2017 T1*2017-01-01*2017-03-31*6 en una escala de 1 a 7*1.74*-0.14**833932.18*465*0.0*8302693*false*9.9561*0.47*0.0*0.47*0.02*4.48*8.66*0.51*False
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RENTA VARIABLE EUROPA FI*2018 S2*2018-07-01*2018-12-31*6 en una escala de 1 a 7*0.98*-0.35**2059715.59*1055*0.0*17831927*false*8.6575*0.88*0.0*0.88*0.05*-15.2*16.05*0.49*False
TREA CAJAMAR RENTA VARIABLE EUROPA, FI*TREA CAJAMAR RENTA VARIABLE EUROPA FI*2018 T3*2018-07-01*2018-09-30*6 en una escala de 1 a 7*0.47*-0.02**1787757.89*1022*0.0*18252276*false*10.2096*0.44*0.0*0.44*0.03*0.38*9.25*0.48*False
