fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*clase
KUTXABANK BOLSA EUROZONA, FI*BBK BOLSA EURO F.I.*2009 S2*2009-07-01*2009-12-31*Alto*0.09*0.07**9947565.74*2080*0.0*41677122*false*4.1897***0.83*0.05*3.1*19.79*0.45*False
KUTXABANK BOLSA EUROZONA, FI*BBK BOLSA EURO F.I.*2009 T3*2009-07-01*2009-09-30*Alto*0.08*0.08**8979589.25*1937*0.0*36489713*false*4.0636***0.42*0.03*17.22*18.58*0.44*False
KUTXABANK BOLSA EUROZONA, FI*BBK BOLSA EURO F.I.*2009 S1*2009-01-01*2009-06-30*Alto*0.55*0.57**8434053.22*1890*0.0*29238325*false*3.4667***0.82*0.05*18.76*26.3*0.44*False
KUTXABANK BOLSA EUROZONA, FI*BBK BOLSA EURO F.I.*2010 S2*2010-07-01*2010-12-31*Alto*0.01*0.2**14584759.51*2970*0.0*59163261*false*4.0565***0.83*0.05*0.22*11.19*0.44*False
KUTXABANK BOLSA EUROZONA, FI*BBK BOLSA EURO F.I.*2010 T3*2010-07-01*2010-09-30*Alto*0.19*0.13**10801821.53*2807*0.0*43721144*false*4.0476***0.42*0.03*8.3*18.65*0.45*False
KUTXABANK BOLSA EUROZONA, FI*BBK BOLSA EURO F.I.*2010 S1*2010-01-01*2010-06-30*Alto*0.8*0.1**10388910.84*2643*0.0*38828794*false*3.7375***0.82*0.05*-9.88*37.98*0.44*False
KUTXABANK BOLSA EUROZONA, FI*BBK BOLSA EURO F.I.*2010 T1*2010-01-01*2010-03-31*Alto*0.55*0.08**10248967.64*2350*0.0*42506368*false*4.1474***0.41*0.02*-1.01*18.3*0.44*False
KUTXABANK BOLSA EUROZONA, FI*BBK BOLSA EURO F.I.*2011 T3*2011-07-01*2011-09-30*Alto*0.17*0.77**21784530.36*3375*0.0*72514186*false*3.3287***0.42*0.03*-21.85*41.42*0.44*False
KUTXABANK BOLSA EUROZONA, FI*BBK BOLSA EURO F.I.*2011 S1*2011-01-01*2011-06-30*Alto*0.26*0.47**18406815.2*3390*0.0*78405634*false*4.2596***0.82*0.05*0.23*15.52*0.44*False
KUTXABANK BOLSA EUROZONA, FI*BBK BOLSA EURO F.I.*2011 T1*2011-01-01*2011-03-31*Alto*0.23*0.28**16927975.04*3240*0.0*71937496*false*4.2496***0.41*0.02*4.76*15.67*0.43*False
KUTXABANK BOLSA EUROZONA, FI*BBK BOLSA EURO F.I.*2012 S2*2012-07-01*2012-12-31*Muy Alto*0.21*0.06**17072796.34*3299*0.0*74002800*false*4.3345*0.83*0.0*0.83*0.05*6.39*13.11*0.44*False
KUTXABANK BOLSA EUROZONA, FI*BBK BOLSA EURO F.I.*2012 T3*2012-07-01*2012-09-30*Muy Alto*0.15*0.07**17804963.84*3217*0.0*72541002*false*4.0742*0.42*0.0*0.42*0.03*7.6*21.5*0.44*False
KUTXABANK BOLSA EUROZONA, FI*BBK BOLSA EURO F.I.*2012 S1*2012-01-01*2012-06-30*Muy Alto*0.86*0.13**19826320.42*3238*0.0*75073624*false*3.7866*0.82*0.0*0.82*0.05*-4.16*23.21*0.44*False
KUTXABANK BOLSA EUROZONA, FI*BBK BOLSA EURO F.I.*2012 T1*2012-01-01*2012-03-31*Muy Alto*0.52*0.1**18713261.66*3259*0.0*73931187*false*3.9507*0.41*0.0*0.41*0.02*6.57*15.66*0.44*False
KUTXABANK BOLSA EUROZONA, FI*KUTXABANK BOLSA EUROZONA FI*2013 T3*2013-07-01*2013-09-30*7 en una escala del 1 al 7*0.11*0.05**31272653.19*10022*0.0*150885852*false*4.8248*0.36*0.0*0.36*0.01***0.37*False
KUTXABANK BOLSA EUROZONA, FI*KUTXABANK BOLSA EUROZONA FI*2013 S1*2013-01-01*2013-06-30*Muy Alto*0.22*0.05**23151504.16*6328*0.0*100580929*false*4.3445*0.82*0.0*0.82*0.05*0.89*17.6*0.44*False
KUTXABANK BOLSA EUROZONA, FI*BBK BOLSA EURO F.I.*2013 T1*2013-01-01*2013-03-31*Muy Alto*0.23*0.04**17828207.98*3724*0.0*76773684*false*4.3063*0.41*0.0*0.41*0.02*-0.65*16.34*0.43*False
KUTXABANK BOLSA EUROZONA, FI*KUTXABANK BOLSA EUROZONA FI*2014 S2*2014-07-01*2014-12-31*6 en una escala del 1 al 7*0.25*0.01**36828594.56*25986*0.0*193316112*false*5.2491*0.96*0.0*0.96*0.05*-2.77*20.63*0.51*False
KUTXABANK BOLSA EUROZONA, FI*KUTXABANK BOLSA EUROZONA FI*2014 T3*2014-07-01*2014-09-30*6 en una escala del 1 al 7*0.1*0.01**36577617.58*23158*0.0*197462836*false*5.3985*0.48*0.0*0.48*0.03*-0.45*14.16*0.5*False
KUTXABANK BOLSA EUROZONA, FI*KUTXABANK BOLSA EUROZONA FI*2014 S1*2014-01-01*2014-06-30*6 en una escala del 1 al 7*0.24*0.11**34352489.52*19777*0.0*186290094*false*5.4229*0.94*0.0*0.94*0.05*3.28*10.6*0.5*False
KUTXABANK BOLSA EUROZONA, FI*KUTXABANK BOLSA EUROZONA FI*2014 T1*2014-01-01*2014-03-31*6 en una escala del 1 al 7*0.03*0.12**32788976.46*15659*0.0*172159833*false*5.2505*0.47*0.0*0.47*0.02*1.71*14.47*0.49*False
KUTXABANK BOLSA EUROZONA, FI*KUTXABANK BOLSA EUROZONA FI*2015 T3*2015-07-01*2015-09-30*6 en una escala del 1 al 7*0.72*0.0**59415077.23*38105*0.0*313364931*false*5.2742*0.48*0.0*0.48*0.03*-9.52*29.34*0.5*False
KUTXABANK BOLSA EUROZONA, FI*KUTXABANK BOLSA EUROZONA FI*2015 S1*2015-01-01*2015-06-30*6 en una escala del 1 al 7*0.59*0.0**50176734.46*36435*0.0*292484075*false*5.8291*0.94*0.0*0.94*0.05*-5.16*20.9*0.5*False
KUTXABANK BOLSA EUROZONA, FI*KUTXABANK BOLSA EUROZONA FI*2015 T1*2015-01-01*2015-03-31*6 en una escala del 1 al 7*0.0*0.0**45444322.66*30926*0.0*279302424*false*6.146*0.47*0.0*0.47*0.02*17.09*18.53*0.49*False
KUTXABANK BOLSA EUROZONA, FI*KUTXABANK BOLSA EUROZONA FI*2016 S2*2016-07-01*2016-12-31*6 en una escala del 1 al 7*0.11*0.0**74692805.65*40531*0.0*415733019*false*5.5659*0.95*0.0*0.95*0.05*8.58*11.48*0.5*False
