fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
CAIXABANK SMART RENTA FIJA CORTO PLAZO, FI*CAIXABANK SMART MONEY MONETARIO, FI*2018 S2*2018-07-01*2018-12-31*1 - Muy bajo*0.73*0.0**542873.6*5674*0.0*3215542*false*5.9232*0.04*0.0*0.04*0.01*-0.16*0.07*0.06
CAIXABANK SMART RENTA FIJA CORTO PLAZO, FI*CAIXABANK SMART MONEY MONETARIO, FI*2018 T3*2018-07-01*2018-09-30*1 - Muy bajo*0.06*0.0**543019.54*4357*0.0*3221567*false*5.9327*0.02*0.0*0.02*0.0*-0.23*0.13*0.06
CAIXABANK SMART RENTA FIJA CORTO PLAZO, FI*CAIXABANK SMART MONEY MONETARIO, FI*2018 S1*2018-01-01*2018-06-30*1 - Muy bajo*1.64*-0.18**128571.79*1886*0.0*764531*false*5.9463*0.04*0.0*0.04*0.01*-0.29*0.09*0.33
CAIXABANK SMART RENTA FIJA CORTO PLAZO, FI*CAIXABANK SMART MONEY MONETARIO, FI*2018 T1*2018-01-01*2018-03-31*1 - Muy bajo*0.98*-0.18**125211.8*212*0.0*746683*false*5.9634*0.02*0.0*0.02*0.0***0.16
CAIXABANK SMART RENTA FIJA CORTO PLAZO, FI*CAIXABANK SMART MONEY RENTA FIJA CORTO PLAZO, FI*2019 S2*2019-07-01*2019-12-31*1 - Muy bajo*0.09*0.0**14340996.48*56155*0.0*84340184*false*5.8811*0.04*0.0*0.04*0.01*-0.19*0.09*0.04
CAIXABANK SMART RENTA FIJA CORTO PLAZO, FI*CAIXABANK SMART MONEY RENTA FIJA CORTO PLAZO, FI*2019 T3*2019-07-01*2019-09-30*1 - Muy bajo*0.42*0.0**822704.8*40113*0.0*4847603*false*5.8923*0.02*0.0*0.02*0.01*-0.21*0.11*0.1
CAIXABANK SMART RENTA FIJA CORTO PLAZO, FI*CAIXABANK SMART MONEY RENTA FIJA CORTO PLAZO, FI*2019 S1*2019-01-01*2019-06-30*1 - Muy bajo*0.8*0.0**623730.85*19263*0.0*3682767*false*5.9044*0.04*0.0*0.04*0.01***0.09
CAIXABANK SMART RENTA FIJA CORTO PLAZO, FI*CAIXABANK SMART MONEY MONETARIO, FI*2019 T1*2019-01-01*2019-03-31*1 - Muy bajo*0.32*0.0**544505.0*6427*0.0*3220839*false*5.9152*0.02*0.0*0.02*0.0*-0.14*0.05*0.06
CAIXABANK SMART RENTA FIJA CORTO PLAZO, FI*CAIXABANK SMART RENTA FIJA CORTO PLAZO, FI*2020 S2*2020-07-01*2020-12-31*1 - Muy bajo*1.16*-0.11**1259575.44*68898*0.0*7361811*false*5.8447*0.04*0.0*0.04*0.01*-0.17*0.06*0.05
CAIXABANK SMART RENTA FIJA CORTO PLAZO, FI*CAIXABANK SMART RENTA FIJA CORTO PLAZO, FI*2020 T3*2020-07-01*2020-09-30*1 - Muy bajo*0.57*0.0**1249107.75*66434*0.0*7312866*false*5.8545*0.02*0.0*0.02*0.01*-0.14*0.04*0.05
CAIXABANK SMART RENTA FIJA CORTO PLAZO, FI*CAIXABANK SMART RENTA FIJA CORTO PLAZO, FI*2020 S1*2020-01-01*2020-06-30*1 - Muy bajo*0.32*-0.07**1296086.68*64749*0.0*7598541*false*5.8627*0.04*0.0*0.04*0.01*-0.1*0.1*0.06
CAIXABANK SMART RENTA FIJA CORTO PLAZO, FI*CAIXABANK SMART RENTA FIJA CORTO PLAZO, FI*2020 T1*2020-01-01*2020-03-31*1 - Muy bajo*0.15*0.0**1292076.32*63309*0.0*7582377*false*5.8684*0.02*0.0*0.02*0.01*-0.22*0.16*0.03
